name,description,location,latitude,longitude,category,service_option1,service_option2
ก๋วยเตี๋ยว ไก่ ตุ๋น มะระ,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BdGVapuydOdMpqI6wmzuVA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=284.32083&pitch=0&thumbfov=100,16.9381326,104.724635,·,·,Takeaway
ข้าวมันไก่ - ข้าวขาหมู เจ้เเอ๋วธาตุพนม,5.0,,16.9509263,104.7220867,·,·,Takeaway
กล้วยทอด,5.0,,16.9454915,104.7211654,·,,
ร้านอาหารก๋วยเตี๋ยวกังหัน,3.8,,16.9445185,104.7273163,·,·,Takeaway
Local food restaurant,4.5,,16.9444155,104.7269888,·,·,Takeaway
ข้าวมันไก่ - ข้าวขาหมู เจ้เเอ๋วธาตุพนม,5.0,https://lh5.googleusercontent.com/p/AF1QipNBlV4uDA4J4nM_dy5MWuwFSOitjUDEa1fhp3vZ=w122-h92-k-no,16.9509263,104.7220867,·,·,Takeaway
กล้วยทอด,5.0,https://lh5.googleusercontent.com/p/AF1QipM34syqVSJtpyuKWrvrQ0pNZMI50XQXJonvQU_6=w163-h92-k-no,16.9454915,104.7211654,·,,
ร้านอาหารก๋วยเตี๋ยวกังหัน,3.8,https://lh5.googleusercontent.com/p/AF1QipPaYCxFc7lgAw-QiTkRJckOGk2MlnjeN-E1vKP7=w163-h92-k-no,16.9445185,104.7273163,·,·,Takeaway
Local food restaurant,4.5,https://lh5.googleusercontent.com/p/AF1QipObIHAwqRw29cTKz-88rvaj33CrQX9ICW4o2RiE=w184-h92-k-no,16.9444155,104.7269888,·,·,Takeaway
ร้านชินจังไก่ย่างอีสานแซ่บ,5.0,https://lh5.googleusercontent.com/p/AF1QipMln1xMzQHbjRD7KqHtkFuisInrPKh5JvkeYHAR=w122-h92-k-no,16.9444181,104.7220987,·,·,Takeaway
แดงข้าวเปียกเส้น,4.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cgj2ccwzFvUEl4bGxH28fw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=255.70851&pitch=0&thumbfov=100,16.9352991,104.7239626,·,·,Takeaway
ร้านก๋วยเตี๋ยวเจ๊กูดหัวสะพานบ้านดอนกลาง,4.8,https://lh5.googleusercontent.com/p/AF1QipNAjwsu_vcGfwz2cPSlQpQYKvbhvfIC1ixxYf2f=w122-h92-k-no,16.9443685,104.7167384,·,·,Takeaway
ออกัสปากหม้อธาตุพนม,1.0,https://lh5.googleusercontent.com/p/AF1QipPL_7HYPpVSEW6jG2XSu_gqVMLd6VwMlA9wxO97=w122-h92-k-no,16.9399486,104.7261925,·,·,Kerbside pickup
ร้านศรีรัฐทิพรส โดยนายธนวินท์ แสงสุวรรณ,,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,16.9401834,104.7242507,·,·,Takeaway
